DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
178569,178569,,Mk10,18:00:00 13-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 14-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,18:00:00 14-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 15-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 15-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,18:00:00 15-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,06:00:00 16-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,12:00:00 16-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 19-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,00:00:00 22-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 22-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 22-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 25-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,18:00:00 26-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,00:00:00 27-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 28-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 28-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 29-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 29-Apr-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,12:00:00 29-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 29-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 30-Apr-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 02-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 02-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 03-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 03-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 04-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,06:00:00 05-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 05-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 06-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,06:00:00 06-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,06:00:00 07-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 08-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 09-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 09-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 09-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 09-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 11-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 12-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 13-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 14-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 14-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 15-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,18:00:00 15-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 16-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 17-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,18:00:00 17-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 19-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,00:00:00 20-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 20-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 20-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 21-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 21-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 22-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 22-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 24-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 24-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 25-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 25-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 26-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,18:00:00 26-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 27-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 27-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 29-May-2020,,,,0.000000,0.000000,Status,,,
178569,178569,,Mk10,18:00:00 29-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,06:00:00 30-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,12:00:00 30-May-2020,,,,0.000000,0.000000,Fast-GPS,,,
178569,178569,,Mk10,00:00:00 01-Jun-2020,,,,0.000000,0.000000,Fast-GPS,,,
