DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
142747,142747,,Transmission,Mk10,TAT,06:00:00 15-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,32.3,67.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 15-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,99.2,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,06:00:00 16-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,99.6,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,12:00:00 16-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 16-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,8.1,91.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 17-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,14.4,85.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,06:00:00 18-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,00:00:00 19-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,8.9,91.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,12:00:00 19-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,0.4,99.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 19-May-2016,2.000000,4,0,,,,12,100,0,0,0,0,0,0,0,45.1,54.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,12:00:00 20-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,00:00:00 21-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,00:00:00 23-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,8.1,91.5,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,06:00:00 23-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,99.6,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,12:00:00 24-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 25-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,38.7,61.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,00:00:00 26-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,5.6,93.7,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,06:00:00 26-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,0,99.6,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,12:00:00 27-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 27-May-2016,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,2.9,97.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,12:00:00 28-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142747,142747,,Transmission,Mk10,TAT,18:00:00 28-May-2016,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,4.6,95.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
