DeployID,Ptt,Instr,Count,Date,Disposition,Code
176761,176761,Mk10,2,08:00:00 08-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 08-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,21:00:00 08-Aug-2018,neither,2
176761,176761,Mk10,2,22:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 08-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,02:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,03:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,04:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,05:00:00 09-Aug-2018,neither,2
176761,176761,Mk10,2,06:00:00 09-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 09-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 09-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 09-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,21:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,22:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 09-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,02:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,03:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,04:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,05:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,06:00:00 10-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 10-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 10-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 10-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 10-Aug-2018,neither,2
176761,176761,Mk10,2,19:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,21:00:00 10-Aug-2018,neither,2
176761,176761,Mk10,2,22:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 10-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,02:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,03:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,04:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,05:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,06:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,15:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 11-Aug-2018,neither,2
176761,176761,Mk10,2,21:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,22:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 11-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,02:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,03:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,04:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,05:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,06:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,07:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,08:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,09:00:00 12-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 12-Aug-2018,neither,2
176761,176761,Mk10,2,11:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 12-Aug-2018,neither,2
176761,176761,Mk10,2,21:00:00 12-Aug-2018,neither,2
176761,176761,Mk10,2,22:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 12-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,01:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,02:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,03:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,06:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,07:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,08:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,09:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,10:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,11:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,12:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,13:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,14:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,15:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,16:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,17:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,18:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,19:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,20:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,21:00:00 15-Aug-2018,neither,2
176761,176761,Mk10,1,22:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,23:00:00 15-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,01:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,02:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,03:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,06:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,07:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,08:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,09:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,10:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,11:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,12:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,13:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,14:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,15:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,16:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,17:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,18:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,19:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,20:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,21:00:00 16-Aug-2018,neither,2
176761,176761,Mk10,1,22:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,23:00:00 16-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,01:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,02:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,03:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,06:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,07:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,08:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,09:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,10:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,11:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,12:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,13:00:00 17-Aug-2018,neither,2
176761,176761,Mk10,1,14:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,15:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,16:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,17:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,18:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,19:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,20:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,21:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,22:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,23:00:00 17-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,01:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,02:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,03:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,06:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,07:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,08:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,09:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,10:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,11:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,12:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,13:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,14:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,15:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,16:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,17:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,18:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,19:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,20:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,21:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,22:00:00 18-Aug-2018,neither,2
176761,176761,Mk10,1,23:00:00 18-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,01:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,02:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,03:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,06:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,07:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,08:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,09:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,10:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,11:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,12:00:00 19-Aug-2018,deep,1
176761,176761,Mk10,1,13:00:00 19-Aug-2018,deep,1
176761,176761,Mk10,1,14:00:00 19-Aug-2018,deep,1
176761,176761,Mk10,1,15:00:00 19-Aug-2018,deep,1
176761,176761,Mk10,1,16:00:00 19-Aug-2018,deep,1
176761,176761,Mk10,1,17:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,18:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,19:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,20:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,21:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,22:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,1,23:00:00 19-Aug-2018,neither,2
176761,176761,Mk10,2,00:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,02:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,03:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,04:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,05:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,06:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,13:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,15:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,17:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,18:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,19:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,20:00:00 23-Aug-2018,neither,2
176761,176761,Mk10,2,21:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,22:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 23-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,01:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,02:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,03:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,04:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,05:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,06:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,14:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,21:00:00 24-Aug-2018,neither,2
176761,176761,Mk10,2,22:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 24-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,02:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,03:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,04:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,05:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,06:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,12:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,20:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,21:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,22:00:00 25-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 25-Aug-2018,neither,2
176761,176761,Mk10,2,00:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,01:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,02:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,03:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,04:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,05:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,06:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 26-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,09:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,10:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,16:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,21:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,22:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 26-Aug-2018,deep,1
176761,176761,Mk10,2,00:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,01:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,02:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,03:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,04:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,05:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,06:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,07:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,08:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,09:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,10:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,11:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,12:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,13:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,14:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,15:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,16:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,17:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,18:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,19:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,20:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,21:00:00 27-Aug-2018,neither,2
176761,176761,Mk10,2,22:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,2,23:00:00 27-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,01:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,02:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,03:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,06:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,07:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,08:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,09:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,10:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,11:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,12:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,13:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,14:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,15:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,16:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,17:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,18:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,19:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,20:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,21:00:00 29-Aug-2018,neither,2
176761,176761,Mk10,1,22:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,23:00:00 29-Aug-2018,deep,1
176761,176761,Mk10,1,00:00:00 30-Aug-2018,neither,2
176761,176761,Mk10,1,01:00:00 30-Aug-2018,neither,2
176761,176761,Mk10,1,02:00:00 30-Aug-2018,neither,2
176761,176761,Mk10,1,03:00:00 30-Aug-2018,neither,2
176761,176761,Mk10,1,04:00:00 30-Aug-2018,neither,2
176761,176761,Mk10,1,05:00:00 30-Aug-2018,neither,2
