Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
176773,04-Jun-2019,04:46:00,1,23.000000,36,2,0,5,15.49783,135.32190,08:45:58 04-Jun-2019,SR,,,,,,,,,,,15,16,31344,,,,26,31242,,,,22,20562,,,,23,20396,,,,8,15273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,05:06:00,2,23.000000,37,2,1,5,15.49783,135.32190,08:45:58 04-Jun-2019,SR,,,,,,,,,,,15,22,19358,,,,8,13245,,,,3,23722,,,,16,3002,,,,7,19686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,05:07:00,1,23.000000,38,2,1,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.60973,135.21655,50,2,,54811.6,6,,,,15,3,31725,,,,22,25413,,,,27,19221,,,,8,18064,,,,7,23647,,,,16,4568,,,,23,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,06:13:14,1,23.000000,42,9,0,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.39672,135.21655,45,2,,100000,6,,,,15,11,30634,,,,3,21049,,,,22,32019,,,,1,12802,,,,18,8162,,,,8,229,,,,30,26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,06:23:56,1,23.000000,43,9,0,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.39672,135.21655,47,2,,100000,6,,,,15,23,26110,,,,3,31940,,,,30,21785,,,,8,3011,,,,22,19782,,,,1,30305,,,,11,30700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,06:32:00,3,23.000000,44,10,0,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.39672,135.43761,49,2,,41943.3,1.5,,,,15,3,32481,,,,11,26669,,,,23,12386,,,,22,3758,,,,28,16548,,,,1,14792,,,,27,28001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,06:39:38,4,23.000000,45,10,0,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.60973,135.21655,49,2,,43521.1,-6,,,,15,3,9560,,,,23,9996,,,,22,31423,,,,11,2200,,,,28,23098,,,,8,7793,,,,1,12364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,06:54:14,3,23.000000,46,12,0,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.39672,135.21655,50,2,,100000,6,,,,15,3,31127,,,,28,5753,,,,8,29903,,,,22,27153,,,,9,19516,,,,23,12535,,,,17,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,07:05:07,1,23.000000,47,13,0,7,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.60973,135.21655,50,2,,93528.0,-6,,,,15,3,18371,,,,17,11452,,,,22,30356,,,,11,24051,,,,23,6891,,,,8,20368,,,,28,6128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176773,04-Jun-2019,07:06:00,1,23.000000,48,13,0,6,15.49783,135.32190,08:45:58 04-Jun-2019,SR,15.45421,135.43761,48,2,,60037.7,-6,,,,15,17,16849,,,,28,10885,,,,3,19370,,,,6,17479,,,,23,11288,,,,8,21710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
