DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
171240,171240,,Transmission,Mk10,TAT,06:00:00 18-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,2.1,97.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 20-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,77.9,21.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 21-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,73.1,26.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 22-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,12:00:00 26-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,1.7,98.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,18:00:00 26-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,1.7,98.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 27-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 28-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,12:00:00 28-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0.4,99.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,18:00:00 29-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 31-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 31-Oct-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,12:00:00 01-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 02-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,18:00:00 03-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 04-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,18:00:00 04-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,2.1,97.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 05-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 05-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,12:00:00 05-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,53.9,46.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,18:00:00 06-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,30.3,69.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 07-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 07-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,18:00:00 07-Nov-2017,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,0,7.4,92.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 08-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,12:00:00 08-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0.4,99.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,06:00:00 09-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,12:00:00 10-Nov-2017,2.000000,2,0,,,,12,100,0,0,0,0,0,0,0,0,11.1,88.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171240,171240,,Transmission,Mk10,TAT,00:00:00 12-Nov-2017,2.000000,1,0,,,,12,100,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
